state,male_electors,female_electors,tg_electors,total_electors,gender_ratio,female_pct
Andhra Pradesh,20339851,21058615,3421,41401887,1035.337721992162,50.86390144487859
Arunachal Pradesh,444078,454359,5,898442,1023.1513382784105,50.5718788747632
Assam,12326124,12245586,404,24572114,993.4660725464063,49.83529703630709
Bihar,40509529,36747831,2219,77259579,907.140416270947,47.56410981737294
Goa,571909,607723,12,1179644,1062.6218506790417,51.5174917178403
Gujarat,24688484,23320005,1456,48009945,944.570148576154,48.57327997355548
Haryana,10758603,9428841,467,20187911,876.4001236963572,46.7053822458401
Himachal Pradesh,2913075,2798859,35,5711969,960.7919466543085,48.999898283761695
Karnataka,27411534,27355786,5012,54772332,997.9662575615068,49.94453403955851
Kerala,13470508,14336133,367,27807008,1064.2607539374164,51.555827221684545
Madhya Pradesh,29141488,27526143,1221,56668852,944.5688909227971,48.57367324116606
Maharashtra,48426549,44629491,5720,93061760,921.5913981398922,47.956852524603015
Manipur,1001762,1049347,248,2051357,1047.5013027046346,51.153797218134144
Meghalaya,1103313,1127135,3,2230451,1021.5913344626592,50.53395030870438
Mizoram,419677,441650,0,861327,1052.3569316402852,51.27553182473091
Nagaland,664460,660923,0,1325383,994.6768804743703,49.86656687161371
Odisha,17097140,16616361,3464,33716965,971.87956582212,49.28190007611895
Punjab,11389031,10177392,773,21567196,893.6135128616297,47.189222001784564
Rajasthan,27874533,25632849,628,53508010,919.5794957354084,47.90469501669003
Sikkim,234871,231769,3,466643,986.7927500628005,49.667304556159635
Tamil Nadu,30674944,31721536,8467,62404947,1034.1187908933102,50.83176498811866
Tripura,1447051,1423776,69,2870896,983.9155634459324,49.59343703150515
Uttar Pradesh,82340364,72056115,6633,154403112,875.1007586024273,46.66752765967567
West Bengal,38724016,37398991,1773,76124780,965.7828619841496,49.128537382965185
Chhattisgarh,10258273,10419662,732,20678667,1015.7325701899335,50.38846072621605
Jharkhand,13188488,12688983,421,25877892,962.125681124326,49.034067380758835
Uttarakhand,4408133,4022671,297,8431101,912.5566311179813,47.712285738244624
Telangana,16528366,16701192,2760,33232318,1010.4563270198639,50.255874417186305
Andaman & Nicobar Islands,164572,151169,4,315745,918.5584425054079,47.87692600041172
Chandigarh,342176,318341,35,660552,930.3428644907884,48.193177827029515
Dadra & Nagar Haveli and Daman & Diu,215816,201420,0,417236,933.295029098862,48.274837262364706
NCT OF Delhi,8223745,6989665,1228,15214638,849.9369812658344,45.940396347254534
Lakshadweep,29445,28508,0,57953,968.1779589064357,49.1915862854382
Puducherry,480876,542997,151,1024024,1129.1829910413496,53.025807988875265
Jammu and Kashmir,4526515,4275667,166,8802348,944.5825320362354,48.57416452973684
Ladakh,98390,92186,0,190576,936.9448114645797,48.372302913273444
"Note - This report is based on election related data of 542 PCs only excluding data of PC-24:Surat due to unopposed election in the PC. Important Statistical Information of PC - Surat may be seen in Report
2A:Highlights(Surat PC).",0,0,0,0,,
Disclaimer,0,0,0,0,,
"These statistical reports are prepared only for academic and research purposes from the secondary data filled in the Index Cards. The primary data is in the statutory forms maintained by the concerned Returning Officers and the data kept in
statutory forms is final.",0,0,0,0,,
