s,la,lo,p11,p24,area,lit,sr,gsdp,hdi,imr,urb,for,crop,rice,wheat,seats,pop_density,gsdp_total_b,rice_yield,food_prod
Andhra Pradesh,15.9,79.7,49.4,53.0,160205,67.4,993,223,0.65,28,33.5,23.0,38,7.5,0.0,25,330.82612902219034,11819.0,1.2319741646804505,7.5
Assam,26.1,92.9,31.2,36.0,78438,73.2,958,107,0.614,32,14.1,35.0,33,5.1,0.01,14,458.96121777709783,3852.0,1.9702880561138036,5.109999999999999
Bihar,25.6,85.1,104.1,130.0,94163,63.8,918,54,0.576,27,11.3,7.0,60,6.5,5.2,40,1380.5847307328781,7020.0,1.1504872756107318,11.7
Chhattisgarh,21.3,81.6,25.5,30.0,135192,71.0,991,130,0.613,38,23.2,41.0,35,6.1,0.1,11,221.90662169359135,3900.0,1.2891718022199115,6.199999999999999
Goa,15.4,74.0,1.5,1.6,3702,87.4,973,554,0.761,9,62.2,60.0,15,0.1,0.0,2,432.1988114532685,886.4000000000001,1.8008283810552856,0.1
Gujarat,22.3,71.2,60.4,70.0,196024,79.3,919,272,0.672,25,42.6,7.5,45,1.8,2.8,26,357.0991307186875,19040.0,0.2040566461249643,4.6
Haryana,29.1,76.1,25.4,30.0,44212,76.6,879,299,0.708,22,34.9,3.5,80,4.7,11.7,10,678.5488102777526,8970.0,1.328824753460599,16.4
Himachal Pradesh,31.1,77.2,6.9,7.5,55673,83.8,972,232,0.725,18,10.0,27.0,10,0.1,0.6,4,134.71521204174374,1740.0,0.179620282722325,0.7
Jharkhand,23.6,85.3,33.0,40.0,79716,67.6,948,95,0.599,25,24.0,29.0,25,3.5,0.3,14,501.7813236991319,3800.0,1.7562346329469618,3.8
Karnataka,15.3,75.7,61.1,68.0,191791,75.6,973,301,0.682,19,38.7,20.0,52,3.0,0.3,28,354.55261195780827,20468.0,0.3008082115026653,3.3
Kerala,10.9,76.3,33.4,35.0,38863,93.9,1084,258,0.779,6,47.7,52.0,18,0.5,0.0,20,900.5995419808044,9030.0,0.7147615412546067,0.5
Madhya Pradesh,23.5,78.6,72.6,87.0,308252,70.6,931,127,0.606,40,27.6,25.0,48,3.0,16.1,29,282.23661160349326,11049.0,0.20275618649676241,19.1
Maharashtra,19.7,75.7,112.4,128.0,307713,82.9,929,260,0.695,16,45.2,17.0,50,2.6,1.5,48,415.97202588125947,33280.0,0.16898863551426166,4.1
Odisha,20.9,84.0,42.0,47.0,155707,73.5,979,140,0.606,36,16.7,33.0,35,7.2,0.0,21,301.84898559473885,6580.0,1.3211627333022005,7.2
Punjab,31.2,75.3,27.7,31.0,50362,76.7,895,227,0.723,16,37.5,3.5,83,13.3,17.1,13,615.5434653111473,7037.0,3.1817831669795025,30.400000000000002
Rajasthan,27.0,74.2,68.5,82.0,342239,67.1,928,142,0.629,32,24.9,5.0,42,0.3,10.4,25,239.5986430535386,11644.0,0.02087096193846155,10.700000000000001
Tamil Nadu,11.1,78.7,72.1,78.0,130058,80.3,996,282,0.708,13,48.4,20.0,32,5.2,0.0,39,599.732427070999,21996.0,1.249442556397915,5.2
Telangana,18.1,79.0,35.2,39.0,112077,66.5,988,320,0.669,17,38.9,24.0,40,6.9,0.0,17,347.9750528654407,12480.0,1.5391204261356033,6.9
Uttar Pradesh,27.2,80.9,199.8,240.0,243286,69.7,912,81,0.596,38,22.3,6.0,68,15.5,35.0,80,986.4932630730909,19440.0,0.9369268123549576,50.5
Uttarakhand,30.1,79.0,10.1,12.0,53483,79.6,963,236,0.7,20,30.6,45.0,12,0.6,0.8,5,224.3703606753548,2832.0,0.9348765028139782,1.4
West Bengal,22.6,87.9,91.3,100.0,88752,77.1,950,134,0.641,18,31.9,14.0,65,15.0,0.9,42,1126.7351721651344,13400.0,2.600158089611848,15.9
NCT OF Delhi,28.6,77.2,16.8,22.0,1484,86.2,868,432,0.75,10,97.5,0.5,0,0.0,0.0,7,14824.797843665769,9504.0,0.0,0.0
Jammu and Kashmir,33.8,74.8,12.5,14.0,222236,68.7,889,118,0.68,17,27.4,46.0,8,0.5,0.5,5,62.996094242156985,1652.0,0.28123256358105797,1.0
Mizoram,23.2,92.8,1.1,1.3,21081,91.6,976,168,0.705,4,52.1,86.0,3,0.06,0.0,1,61.66690384706608,218.4,0.9487215976471705,0.06
Meghalaya,25.5,91.4,3.0,3.8,22429,75.5,989,105,0.655,32,20.1,76.0,8,0.3,0.0,2,169.4235142003656,399.0,1.6719425743457133,0.3
Nagaland,26.2,94.6,2.0,2.3,16579,80.1,931,110,0.679,6,28.9,75.0,5,0.3,0.0,1,138.72971831835454,252.99999999999997,3.619036130044031,0.3
Tripura,23.8,91.3,3.7,4.2,10486,87.8,960,142,0.674,16,26.2,60.0,22,0.7,0.0,2,400.5340453938585,596.4,3.0343488287413516,0.7
Manipur,24.8,94.0,2.7,3.2,22327,79.9,985,90,0.696,8,32.5,77.0,5,0.4,0.0,2,143.32422627312224,288.0,3.5831056568280557,0.4
Sikkim,27.5,88.5,0.6,0.7,7096,82.2,890,440,0.716,7,25.0,47.0,5,0.02,0.02,1,98.64712514092446,308.0,0.5636978579481398,0.04
Arunachal Pradesh,27.1,93.6,1.4,1.7,83743,66.9,938,160,0.617,12,22.9,79.0,3,0.2,0.0,2,20.30020419617162,272.0,0.7960864390655539,0.2
